time_s,drag_N_per_m,lift_N_per_m
2.390000000000000124e+00,1.472927821199999876e+01,4.652455230099999395e-01
2.399999999999999911e+00,1.471948979599999774e+01,4.682602029299999802e-01
2.410000000000000142e+00,1.470967016999999899e+01,4.710761296800000109e-01
2.419999999999999929e+00,1.470013768099999929e+01,4.741136190599999911e-01
2.430000000000000160e+00,1.469058723899999919e+01,4.770782495599999451e-01
2.439999999999999947e+00,1.468136109099999942e+01,4.799574740100000514e-01
2.450000000000000178e+00,1.467207284700000081e+01,4.826757724300000385e-01
2.459999999999999964e+00,1.466310940099999804e+01,4.853733024699999343e-01
2.470000000000000195e+00,1.465410292400000003e+01,4.880433278900000449e-01
2.479999999999999982e+00,1.464539401499999904e+01,4.904531439400000026e-01
2.490000000000000213e+00,1.463665426000000025e+01,4.930947408199999327e-01
2.500000000000000000e+00,1.462823475999999978e+01,4.956801619500000311e-01
2.509999999999999787e+00,1.461977968800000127e+01,4.983118858799999717e-01
2.520000000000000018e+00,1.461151708400000082e+01,5.006808324799999488e-01
2.529999999999999805e+00,1.460337182600000006e+01,5.032832116200000039e-01
2.540000000000000036e+00,1.459551232400000131e+01,5.057029985200000022e-01
2.549999999999999822e+00,1.458759326999999928e+01,5.082670219699999548e-01
2.560000000000000053e+00,1.457994687099999886e+01,5.107335983299999826e-01
2.569999999999999840e+00,1.457228595599999998e+01,5.130176195099999115e-01
2.580000000000000071e+00,1.456491541899999831e+01,5.154541957999999591e-01
2.589999999999999858e+00,1.455750399799999784e+01,5.176994064900000136e-01
2.600000000000000089e+00,1.455038341100000032e+01,5.200507552399999955e-01
2.609999999999999876e+00,1.454318126799999966e+01,5.220813408100000164e-01
2.620000000000000107e+00,1.453631200100000065e+01,5.245682986699999883e-01
2.629999999999999893e+00,1.452939378299999973e+01,5.264846736699999585e-01
2.640000000000000124e+00,1.452281173199999920e+01,5.287153522499999925e-01
2.649999999999999911e+00,1.451614883300000081e+01,5.307152532200000161e-01
2.660000000000000142e+00,1.450899425899999962e+01,5.317947383400000172e-01
2.669999999999999929e+00,1.450262531999999993e+01,5.341119786800000435e-01
2.680000000000000160e+00,1.449651418800000080e+01,5.357474503899999352e-01
2.689999999999999947e+00,1.449035056899999852e+01,5.382983916300000393e-01
2.700000000000000178e+00,1.448448191800000018e+01,5.398326823300000354e-01
2.709999999999999964e+00,1.447854106099999960e+01,5.422483107100000144e-01
2.720000000000000195e+00,1.447289843000000076e+01,5.439583440399999859e-01
2.729999999999999982e+00,1.446718755099999854e+01,5.460902510799999776e-01
2.740000000000000213e+00,1.446178057799999905e+01,5.479089507400000114e-01
2.750000000000000000e+00,1.445631218699999998e+01,5.498045570899999790e-01
2.759999999999999787e+00,1.445111571599999856e+01,5.516306603599999692e-01
2.770000000000000018e+00,1.444587022899999873e+01,5.533578940400000201e-01
2.779999999999999805e+00,1.444087228499999931e+01,5.550219317100000271e-01
2.790000000000000036e+00,1.443583700299999784e+01,5.568239393299999618e-01
2.799999999999999822e+00,1.443106749099999853e+01,5.583861024899999803e-01
2.810000000000000053e+00,1.442624424799999971e+01,5.601351582100000392e-01
2.819999999999999840e+00,1.442168750799999977e+01,5.616715900500000025e-01
2.830000000000000071e+00,1.441707624699999890e+01,5.634037290700000256e-01
2.839999999999999858e+00,1.441272021399999836e+01,5.649388754099999854e-01
2.850000000000000089e+00,1.440830206600000096e+01,5.666610565599999871e-01
2.859999999999999876e+00,1.440414991299999947e+01,5.682419587299999408e-01
2.870000000000000107e+00,1.439993251900000004e+01,5.699007716899999743e-01
2.879999999999999893e+00,1.439587250000000118e+01,5.716021399399999758e-01
2.890000000000000124e+00,1.439185730200000002e+01,5.731455587099999471e-01
2.899999999999999911e+00,1.438808864599999993e+01,5.748761960999999587e-01
2.910000000000000142e+00,1.438424749499999855e+01,5.761860428099999654e-01
2.919999999999999929e+00,1.438064777399999983e+01,5.779815740000000535e-01
2.930000000000000160e+00,1.437687696299999907e+01,5.792408426999999804e-01
2.939999999999999947e+00,1.437349158800000026e+01,5.809839533499999709e-01
2.950000000000000178e+00,1.437001780399999795e+01,5.823306001500000439e-01
2.959999999999999964e+00,1.436667416100000061e+01,5.838552609199999521e-01
2.970000000000000195e+00,1.436338874900000029e+01,5.853440760299999379e-01
2.979999999999999982e+00,1.436032276199999913e+01,5.867355291800000483e-01
2.990000000000000213e+00,1.435704942300000120e+01,5.882341968700000034e-01
3.000000000000000000e+00,1.435417078600000096e+01,5.897706289499999865e-01
3.009999999999999787e+00,1.435119122100000055e+01,5.911453485200000024e-01
3.020000000000000018e+00,1.434832070300000062e+01,5.925607781399999663e-01
3.029999999999999805e+00,1.434550826500000120e+01,5.941562956499999437e-01
3.040000000000000036e+00,1.434290303000000044e+01,5.955328259100000077e-01
3.049999999999999822e+00,1.434008296900000090e+01,5.970707827399999168e-01
3.060000000000000053e+00,1.433762738699999773e+01,5.984746197200000450e-01
3.069999999999999840e+00,1.433506577900000067e+01,5.999002655099999748e-01
3.080000000000000071e+00,1.433261390999999918e+01,6.012389388100000120e-01
3.089999999999999858e+00,1.433019806999999979e+01,6.026602381700000288e-01
3.100000000000000089e+00,1.432798916799999844e+01,6.039819220700000102e-01
3.109999999999999876e+00,1.432557272099999857e+01,6.054064007799999647e-01
3.120000000000000107e+00,1.432349860200000080e+01,6.067016324799999749e-01
3.129999999999999893e+00,1.432131071399999911e+01,6.082026678899999927e-01
3.140000000000000124e+00,1.431921269999999957e+01,6.094513888999999462e-01
3.149999999999999911e+00,1.431716415700000056e+01,6.109770975899999623e-01
3.160000000000000142e+00,1.431531434399999902e+01,6.123070882400000192e-01
3.169999999999999929e+00,1.431322485599999972e+01,6.137682705999999433e-01
3.180000000000000160e+00,1.431150434700000140e+01,6.151280460500000435e-01
3.189999999999999947e+00,1.430965243300000012e+01,6.166080278300000161e-01
3.200000000000000178e+00,1.430789495900000041e+01,6.178243194699999385e-01
3.209999999999999964e+00,1.430618729499999908e+01,6.193694677100000101e-01
3.220000000000000195e+00,1.430465293800000026e+01,6.207845454199999446e-01
3.229999999999999982e+00,1.430289423299999818e+01,6.220631995400000003e-01
3.240000000000000213e+00,1.430146818399999908e+01,6.234995214199999802e-01
3.250000000000000000e+00,1.429991686900000047e+01,6.248494891599999379e-01
3.259999999999999787e+00,1.429844020400000026e+01,6.262576696499999596e-01
3.270000000000000018e+00,1.429698512699999924e+01,6.277216555200000325e-01
3.279999999999999805e+00,1.429571160699999943e+01,6.292176681000000160e-01
3.290000000000000036e+00,1.429421147899999944e+01,6.307882068900000361e-01
3.299999999999999822e+00,1.429304482700000101e+01,6.321637331899999657e-01
3.310000000000000053e+00,1.429175637200000004e+01,6.337591490999999744e-01
3.319999999999999840e+00,1.429053423699999925e+01,6.352089309099999692e-01
3.330000000000000071e+00,1.428934487400000108e+01,6.367251636599999820e-01
3.339999999999999858e+00,1.428831872100000133e+01,6.382519463099999291e-01
3.350000000000000089e+00,1.428705380299999916e+01,6.396299461200000147e-01
3.359999999999999876e+00,1.428611968300000079e+01,6.410744857400000329e-01
3.370000000000000107e+00,1.428504017199999865e+01,6.423989368600000471e-01
3.379999999999999893e+00,1.428402394000000086e+01,6.436904423300000566e-01
3.390000000000000124e+00,1.428302562000000009e+01,6.450140973899999297e-01
3.399999999999999911e+00,1.428219738399999983e+01,6.463150691200000297e-01
3.410000000000000142e+00,1.428112614399999991e+01,6.475740339400000156e-01
3.419999999999999929e+00,1.428036954000000058e+01,6.489301909200000384e-01
3.430000000000000160e+00,1.427947385099999877e+01,6.501808357000000704e-01
3.439999999999999947e+00,1.427863608599999878e+01,6.514978391899999277e-01
3.450000000000000178e+00,1.427781523899999883e+01,6.528307056800000119e-01
3.459999999999999964e+00,1.427715256099999941e+01,6.541322251000000199e-01
3.470000000000000195e+00,1.427624582700000033e+01,6.554522269499999387e-01
3.479999999999999982e+00,1.427565364900000056e+01,6.566972342399999274e-01
3.490000000000000213e+00,1.427491328699999862e+01,6.580641375900000423e-01
3.500000000000000000e+00,1.427422531799999916e+01,6.591882813299999588e-01
3.509999999999999787e+00,1.427355484899999993e+01,6.605784630000000046e-01
3.520000000000000018e+00,1.427303994099999862e+01,6.616992442700000421e-01
3.529999999999999805e+00,1.427226954199999831e+01,6.630317727300000241e-01
3.540000000000000036e+00,1.427180067999999835e+01,6.641511957999999272e-01
3.549999999999999822e+00,1.427119510400000024e+01,6.655735793000000511e-01
3.560000000000000053e+00,1.427063122199999867e+01,6.666368277699999956e-01
3.569999999999999840e+00,1.427008264600000054e+01,6.680527952699999439e-01
3.580000000000000071e+00,1.426967993499999920e+01,6.691907947799999867e-01
3.589999999999999858e+00,1.426902687999999841e+01,6.705299660100000336e-01
3.600000000000000089e+00,1.426868159799999880e+01,6.717340044599999782e-01
3.609999999999999876e+00,1.426818281299999924e+01,6.730697917899999272e-01
3.620000000000000107e+00,1.426772700099999902e+01,6.742638026699999676e-01
3.629999999999999893e+00,1.426728550099999815e+01,6.756075244699999427e-01
3.640000000000000124e+00,1.426698230500000086e+01,6.768193665999999720e-01
3.649999999999999911e+00,1.426642495999999838e+01,6.781166481099999421e-01
3.660000000000000142e+00,1.426617779100000050e+01,6.793504720799999896e-01
3.669999999999999929e+00,1.426576985599999858e+01,6.806217230099999016e-01
3.680000000000000160e+00,1.426540114900000056e+01,6.818334699199999349e-01
3.689999999999999947e+00,1.426504386699999927e+01,6.830861187100000231e-01
3.700000000000000178e+00,1.426481474000000027e+01,6.841837427700000474e-01
3.709999999999999964e+00,1.426432814299999841e+01,6.855785271199998920e-01
3.720000000000000195e+00,1.426414363899999849e+01,6.866023748099999713e-01
3.729999999999999982e+00,1.426380284700000090e+01,6.879375458199999960e-01
3.740000000000000213e+00,1.426349801199999945e+01,6.888853065400000197e-01
3.750000000000000000e+00,1.426320634500000040e+01,6.902070957599999446e-01
3.759999999999999787e+00,1.426304820600000056e+01,6.912449496500000512e-01
3.770000000000000018e+00,1.426263503999999926e+01,6.924658273000000586e-01
3.779999999999999805e+00,1.426251868800000011e+01,6.936614540700000164e-01
3.790000000000000036e+00,1.426224286899999960e+01,6.947324318199999960e-01
3.799999999999999822e+00,1.426199199400000062e+01,6.959846135899999675e-01
3.810000000000000053e+00,1.426175225300000093e+01,6.970143512699999988e-01
3.819999999999999840e+00,1.426164338299999912e+01,6.981630849800000149e-01
3.830000000000000071e+00,1.426127396499999911e+01,6.991521439800000293e-01
