time_window,total_iterations,iterations,converged,qn_columns,deleted_qn_columns,dropped_qn_columns
309,761,3,1,11,3,0
310,764,3,1,12,1,0
311,767,3,1,11,3,0
312,770,3,1,10,3,0
313,773,3,1,10,2,0
314,776,3,1,11,1,0
315,779,3,1,10,3,0
316,782,3,1,10,2,0
317,785,3,1,10,2,0
318,788,3,1,10,2,0
319,791,3,1,10,2,0
320,794,3,1,9,3,0
321,797,3,1,10,1,0
322,801,4,1,10,3,0
323,804,3,1,10,2,0
324,807,3,1,10,2,0
325,810,3,1,11,1,0
326,813,3,1,12,1,0
327,816,3,1,12,2,0
328,819,3,1,11,3,0
329,822,3,1,11,2,0
330,825,3,1,12,1,0
331,828,3,1,12,2,0
332,831,3,1,12,2,0
333,834,3,1,13,1,0
334,837,3,1,11,4,0
335,840,3,1,11,1,1
336,843,3,1,11,2,0
337,846,3,1,11,1,1
338,849,3,1,11,2,0
339,852,3,1,10,3,0
340,855,3,1,9,3,0
341,858,3,1,10,1,0
342,861,3,1,9,3,0
343,864,3,1,10,1,0
344,867,3,1,10,2,0
345,870,3,1,9,3,0
346,873,3,1,10,1,0
347,876,3,1,11,1,0
348,879,3,1,11,2,0
349,882,3,1,11,2,0
350,885,3,1,11,2,0
351,888,3,1,11,2,0
352,891,3,1,10,3,0
353,894,3,1,10,2,0
354,897,3,1,10,2,0
355,900,3,1,11,1,0
356,903,3,1,11,2,0
357,906,3,1,11,2,0
358,909,3,1,11,2,0
359,912,3,1,11,2,0
360,915,3,1,10,3,0
361,918,3,1,9,3,0
362,921,3,1,10,1,0
363,924,3,1,10,2,0
364,927,3,1,10,2,0
365,930,3,1,9,3,0
366,933,3,1,10,1,0
367,936,3,1,9,3,0
368,939,3,1,8,3,0
369,942,3,1,9,1,0
370,945,3,1,10,1,0
371,948,3,1,10,2,0
372,951,3,1,11,1,0
373,954,3,1,12,1,0
374,957,3,1,12,2,0
375,960,3,1,12,2,0
376,963,3,1,12,2,0
377,966,3,1,13,1,0
378,969,3,1,12,3,0
379,972,3,1,12,1,1
380,975,3,1,12,1,1
381,978,3,1,12,2,0
382,981,3,1,11,3,0
383,984,3,1,11,2,0
384,987,3,1,11,2,0
385,990,3,1,11,2,0
386,993,3,1,10,3,0
387,996,3,1,10,2,0
388,999,3,1,11,1,0
389,1002,3,1,11,1,1
390,1005,3,1,11,2,0
391,1008,3,1,11,2,0
392,1011,3,1,11,1,1
393,1014,3,1,11,2,0
394,1017,3,1,11,2,0
395,1020,3,1,11,1,1
396,1023,3,1,11,2,0
397,1026,3,1,10,3,0
398,1029,3,1,10,2,0
399,1032,3,1,11,1,0
400,1035,3,1,10,3,0
401,1038,3,1,11,1,0
402,1041,3,1,11,2,0
403,1044,3,1,10,3,0
404,1047,3,1,10,2,0
405,1050,3,1,10,2,0
