time_s,ux_m,uy_m
2.129999999999999893e+00,2.819760400000000014e-05,-1.258434679999999946e-04
2.140000000000000124e+00,2.812338500000000145e-05,-1.222823489999999937e-04
2.149999999999999911e+00,2.802191109999999850e-05,-1.186478000000000061e-04
2.160000000000000142e+00,2.790529850000000121e-05,-1.149408120000000019e-04
2.169999999999999929e+00,2.781192189999999903e-05,-1.111620110000000007e-04
2.180000000000000160e+00,2.773663099999999949e-05,-1.073114829999999976e-04
2.189999999999999947e+00,2.765073979999999892e-05,-1.033888089999999998e-04
2.200000000000000178e+00,2.755006389999999894e-05,-9.939401240000000340e-05
2.209999999999999964e+00,2.745992169999999981e-05,-9.532744299999999565e-05
2.220000000000000195e+00,2.738657120000000022e-05,-9.118852780000000289e-05
2.229999999999999982e+00,2.730855180000000022e-05,-8.697740210000000219e-05
2.240000000000000213e+00,2.722075330000000161e-05,-8.269447939999999470e-05
2.250000000000000000e+00,2.713673479999999976e-05,-7.833823550000000200e-05
2.259999999999999787e+00,2.706377540000000137e-05,-7.390737050000000593e-05
2.270000000000000018e+00,2.699237319999999861e-05,-6.940245700000000073e-05
2.279999999999999805e+00,2.691342759999999901e-05,-6.482358749999999627e-05
2.290000000000000036e+00,2.683532189999999893e-05,-6.017084100000000214e-05
2.299999999999999822e+00,2.676500419999999953e-05,-5.544662429999999914e-05
2.310000000000000053e+00,2.669709910000000113e-05,-5.065305920000000235e-05
2.319999999999999840e+00,2.662592830000000006e-05,-4.579120230000000328e-05
2.330000000000000071e+00,2.655357299999999880e-05,-4.086321410000000196e-05
2.339999999999999858e+00,2.648594400000000033e-05,-3.587041869999999845e-05
2.350000000000000089e+00,2.642172070000000077e-05,-3.081350750000000290e-05
2.359999999999999876e+00,2.635564890000000133e-05,-2.569388000000000005e-05
2.370000000000000107e+00,2.628871899999999986e-05,-2.051282940000000027e-05
2.379999999999999893e+00,2.622404460000000168e-05,-1.526599010000000012e-05
2.390000000000000124e+00,2.616189779999999898e-05,-9.949991830000000671e-06
2.399999999999999911e+00,2.610010950000000036e-05,-4.571088890000000306e-06
2.410000000000000142e+00,2.603770860000000130e-05,8.676025840000000164e-07
2.419999999999999929e+00,2.597691729999999992e-05,6.367149140000000370e-06
2.430000000000000160e+00,2.591808699999999951e-05,1.192579950000000054e-05
2.439999999999999947e+00,2.585958290000000078e-05,1.754247419999999891e-05
2.450000000000000178e+00,2.580090860000000045e-05,2.321629030000000078e-05
2.459999999999999964e+00,2.574287339999999970e-05,2.894566239999999882e-05
2.470000000000000195e+00,2.568660970000000157e-05,3.473031460000000316e-05
2.479999999999999982e+00,2.563148379999999983e-05,4.057001330000000329e-05
2.490000000000000213e+00,2.557634560000000048e-05,4.646376370000000061e-05
2.500000000000000000e+00,2.552162549999999948e-05,5.241084100000000190e-05
2.509999999999999787e+00,2.546794830000000001e-05,5.841011720000000143e-05
2.520000000000000018e+00,2.541531410000000033e-05,6.445999080000000168e-05
2.529999999999999805e+00,2.536313670000000088e-05,7.055912800000000340e-05
2.540000000000000036e+00,2.531115289999999899e-05,7.670641560000000542e-05
2.549999999999999822e+00,2.526002460000000070e-05,8.290109819999999584e-05
2.560000000000000053e+00,2.520968809999999898e-05,8.914551189999999671e-05
2.569999999999999840e+00,2.515978700000000035e-05,9.544193500000000086e-05
2.580000000000000071e+00,2.511040789999999961e-05,1.017875160000000046e-04
2.589999999999999858e+00,2.506176169999999905e-05,1.081801399999999939e-04
2.600000000000000089e+00,2.501394449999999955e-05,1.146197999999999965e-04
2.609999999999999876e+00,2.496621099999999833e-05,1.210995380000000056e-04
2.620000000000000107e+00,2.491865959999999995e-05,1.276136500000000043e-04
2.629999999999999893e+00,2.487213159999999970e-05,1.341661590000000042e-04
2.640000000000000124e+00,2.482659329999999944e-05,1.407578589999999906e-04
2.649999999999999911e+00,2.478148339999999974e-05,1.473860610000000016e-04
2.660000000000000142e+00,2.473647159999999972e-05,1.540508029999999938e-04
2.669999999999999929e+00,2.469202410000000068e-05,1.607515670000000041e-04
2.680000000000000160e+00,2.464853930000000110e-05,1.674870020000000098e-04
2.689999999999999947e+00,2.460538149999999931e-05,1.742578350000000063e-04
2.700000000000000178e+00,2.456234980000000052e-05,1.810645310000000058e-04
2.709999999999999964e+00,2.451979359999999908e-05,1.879039290000000079e-04
2.720000000000000195e+00,2.447794009999999923e-05,1.947729129999999954e-04
2.729999999999999982e+00,2.443666579999999978e-05,2.016694050000000045e-04
2.740000000000000213e+00,2.439563429999999847e-05,2.085909389999999954e-04
2.750000000000000000e+00,2.435507540000000137e-05,2.155357340000000103e-04
2.759999999999999787e+00,2.431519030000000138e-05,2.225024090000000108e-04
2.770000000000000018e+00,2.427574919999999926e-05,2.294892740000000007e-04
2.779999999999999805e+00,2.423643670000000030e-05,2.364921110000000020e-04
2.790000000000000036e+00,2.419745650000000101e-05,2.435069540000000057e-04
2.799999999999999822e+00,2.415918710000000008e-05,2.505341760000000121e-04
2.810000000000000053e+00,2.412161560000000026e-05,2.575734589999999907e-04
2.819999999999999840e+00,2.408431869999999960e-05,2.646227469999999984e-04
2.830000000000000071e+00,2.404718359999999887e-05,2.716810540000000177e-04
2.839999999999999858e+00,2.401057919999999922e-05,2.787470050000000134e-04
2.850000000000000089e+00,2.397460200000000130e-05,2.858184459999999730e-04
2.859999999999999876e+00,2.393902199999999917e-05,2.928934080000000122e-04
2.870000000000000107e+00,2.390361559999999998e-05,2.999707830000000047e-04
2.879999999999999893e+00,2.386861390000000050e-05,3.070493310000000265e-04
2.890000000000000124e+00,2.383412859999999893e-05,3.141268619999999919e-04
2.899999999999999911e+00,2.379994720000000073e-05,3.212016940000000085e-04
2.910000000000000142e+00,2.376605139999999838e-05,3.282717309999999946e-04
2.919999999999999929e+00,2.373262350000000139e-05,3.353343780000000193e-04
2.930000000000000160e+00,2.369973939999999921e-05,3.423881149999999764e-04
2.939999999999999947e+00,2.366716989999999898e-05,3.494318689999999792e-04
2.950000000000000178e+00,2.363480570000000105e-05,3.564640850000000069e-04
2.959999999999999964e+00,2.360283539999999923e-05,3.634829580000000079e-04
2.970000000000000195e+00,2.357137549999999897e-05,3.704869760000000065e-04
2.979999999999999982e+00,2.354030909999999845e-05,3.774743119999999846e-04
2.990000000000000213e+00,2.350940700000000142e-05,3.844414860000000241e-04
3.000000000000000000e+00,2.347882310000000078e-05,3.913906059999999959e-04
3.009999999999999787e+00,2.344895089999999964e-05,3.983233800000000142e-04
3.020000000000000018e+00,2.341960510000000049e-05,4.052323220000000133e-04
3.029999999999999805e+00,2.339038159999999987e-05,4.121141730000000051e-04
3.040000000000000036e+00,2.336129709999999949e-05,4.189689359999999776e-04
3.049999999999999822e+00,2.333269759999999915e-05,4.257935660000000092e-04
3.060000000000000053e+00,2.330461009999999940e-05,4.325863050000000229e-04
3.069999999999999840e+00,2.327673709999999974e-05,4.393458309999999888e-04
3.080000000000000071e+00,2.324908579999999920e-05,4.460702399999999794e-04
3.089999999999999858e+00,2.322186340000000060e-05,4.527580299999999793e-04
3.100000000000000089e+00,2.319509599999999995e-05,4.594078059999999789e-04
3.109999999999999876e+00,2.316865119999999978e-05,4.660181220000000099e-04
3.120000000000000107e+00,2.314240330000000024e-05,4.725876800000000004e-04
3.129999999999999893e+00,2.311642229999999945e-05,4.791149010000000257e-04
3.140000000000000124e+00,2.309084069999999990e-05,4.855977920000000263e-04
3.149999999999999911e+00,2.306565720000000068e-05,4.920345809999999813e-04
3.160000000000000142e+00,2.304082559999999939e-05,4.984236240000000087e-04
3.169999999999999929e+00,2.301627690000000067e-05,5.047632169999999785e-04
3.180000000000000160e+00,2.299204200000000100e-05,5.110518139999999966e-04
3.189999999999999947e+00,2.296820490000000016e-05,5.172879399999999938e-04
3.200000000000000178e+00,2.294478480000000003e-05,5.234651220000000309e-04
3.209999999999999964e+00,2.292182300000000092e-05,5.295794480000000186e-04
3.220000000000000195e+00,2.289916659999999919e-05,5.356357610000000123e-04
3.229999999999999982e+00,2.287675819999999922e-05,5.416341650000000302e-04
3.240000000000000213e+00,2.285468510000000049e-05,5.475718240000000204e-04
3.250000000000000000e+00,2.283295849999999956e-05,5.534491110000000101e-04
3.259999999999999787e+00,2.281154829999999949e-05,5.592652389999999999e-04
3.270000000000000018e+00,2.279036069999999968e-05,5.650184600000000357e-04
3.279999999999999805e+00,2.276947529999999919e-05,5.707075339999999764e-04
3.290000000000000036e+00,2.274898699999999965e-05,5.763358550000000297e-04
3.299999999999999822e+00,2.272891209999999961e-05,5.819076559999999780e-04
3.310000000000000053e+00,2.270922399999999831e-05,5.874187830000000485e-04
3.319999999999999840e+00,2.268979290000000009e-05,5.928662689999999536e-04
