time_window,iteration,displacement_abs_or_rel_measure,force_relative_measure
4.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.945213399999999940e-02
4.800000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.430701500000000147e-03
4.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.890817659999999983e-02
4.900000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.488885220000000151e-03
5.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.838814539999999997e-02
5.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.547051989999999797e-03
5.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.788206590000000068e-02
5.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.606871040000000049e-03
5.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.739246839999999961e-02
5.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.667692299999999843e-03
5.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.692106109999999899e-02
5.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.728914270000000062e-03
5.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.646802589999999886e-02
5.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.790442340000000146e-03
5.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.602857400000000029e-02
5.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.852257759999999989e-03
5.500000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,7.820864269999999932e-07
5.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.560127809999999927e-02
5.600000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.912761580000000128e-03
5.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.518905299999999924e-02
5.700000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,3.974586040000000278e-03
5.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.479120849999999987e-02
5.800000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.037524489999999577e-03
5.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.440550250000000032e-02
5.900000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.099832420000000359e-03
6.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.403090440000000043e-02
6.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.163205659999999649e-03
6.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.366755319999999989e-02
6.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.225962459999999671e-03
6.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.331637760000000011e-02
6.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.286855570000000330e-03
6.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.297586669999999977e-02
6.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.348728730000000174e-03
6.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.264494000000000035e-02
6.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.409696020000000195e-03
6.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.232267899999999958e-02
6.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.469121359999999807e-03
6.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.201146290000000040e-02
6.600000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.527475639999999600e-03
6.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.170945630000000057e-02
6.700000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.586461790000000323e-03
6.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.141586200000000058e-02
6.800000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.644536749999999929e-03
6.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.113099399999999996e-02
6.900000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.701292650000000149e-03
7.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.085381669999999944e-02
7.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.756142809999999894e-03
7.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.058597929999999937e-02
7.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.809926719999999684e-03
7.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.032472090000000065e-02
7.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.863732079999999632e-03
7.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.007315919999999913e-02
7.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.915952870000000335e-03
